Apr. 22, 2023   20:39:37
Amperometric i-t Curve
File: c:\users\user\desktop\20230422\20230422_mcdi_run1_12v_10min_charge.txt
Data Source:  Experiment
Instrument Model:  CHI6273E
4-electrode
Header: 
Note: 

Init E (V) = 1.2
Sample Interval (s) = 1
Run Time (sec) = 600
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.1


Time/sec, Current/A

4.230e+2, -1.077e-2
4.240e+2, -1.070e-2
4.250e+2, -1.066e-2
4.260e+2, -1.062e-2
4.270e+2, -1.057e-2
4.280e+2, -1.049e-2
4.290e+2, -1.044e-2
4.300e+2, -1.041e-2
4.310e+2, -1.036e-2
4.320e+2, -1.029e-2
4.330e+2, -1.023e-2
4.340e+2, -1.020e-2
4.350e+2, -1.016e-2
4.360e+2, -1.011e-2
4.370e+2, -1.003e-2
4.380e+2, -1.000e-2
4.390e+2, -9.967e-3
4.400e+2, -9.924e-3
4.410e+2, -9.849e-3
4.420e+2, -9.810e-3
4.430e+2, -9.776e-3
4.440e+2, -9.742e-3
4.450e+2, -9.679e-3
4.460e+2, -9.624e-3
4.470e+2, -9.594e-3
4.480e+2, -9.559e-3
4.490e+2, -9.512e-3
4.500e+2, -9.447e-3
4.510e+2, -9.417e-3
4.520e+2, -9.384e-3
4.530e+2, -9.346e-3
4.540e+2, -9.281e-3
4.550e+2, -9.244e-3
4.560e+2, -9.213e-3
4.570e+2, -9.180e-3
4.580e+2, -9.126e-3
4.590e+2, -9.074e-3
4.600e+2, -9.047e-3
4.610e+2, -9.017e-3
4.620e+2, -8.975e-3
4.630e+2, -8.913e-3
4.640e+2, -8.883e-3
4.650e+2, -8.852e-3
4.660e+2, -8.819e-3
4.670e+2, -8.763e-3
4.680e+2, -8.724e-3
4.690e+2, -8.696e-3
4.700e+2, -8.668e-3
4.710e+2, -8.621e-3
4.720e+2, -8.570e-3
4.730e+2, -8.546e-3
4.740e+2, -8.520e-3
4.750e+2, -8.485e-3
4.760e+2, -8.430e-3
4.770e+2, -8.403e-3
4.780e+2, -8.375e-3
4.790e+2, -8.345e-3
4.800e+2, -8.295e-3
4.810e+2, -8.259e-3
4.820e+2, -8.234e-3
4.830e+2, -8.206e-3
4.840e+2, -8.166e-3
4.850e+2, -8.120e-3
4.860e+2, -8.096e-3
4.870e+2, -8.072e-3
4.880e+2, -8.042e-3
4.890e+2, -7.993e-3
4.900e+2, -7.966e-3
4.910e+2, -7.940e-3
4.920e+2, -7.913e-3
4.930e+2, -7.871e-3
4.940e+2, -7.837e-3
4.950e+2, -7.813e-3
4.960e+2, -7.789e-3
4.970e+2, -7.756e-3
4.980e+2, -7.712e-3
4.990e+2, -7.690e-3
5.000e+2, -7.664e-3
5.010e+2, -7.638e-3
5.020e+2, -7.594e-3
5.030e+2, -7.569e-3
5.040e+2, -7.545e-3
5.050e+2, -7.521e-3
5.060e+2, -7.482e-3
5.070e+2, -7.445e-3
5.080e+2, -7.422e-3
5.090e+2, -7.398e-3
5.100e+2, -7.369e-3
5.110e+2, -7.329e-3
5.120e+2, -7.309e-3
5.130e+2, -7.287e-3
5.140e+2, -7.263e-3
5.150e+2, -7.226e-3
5.160e+2, -7.201e-3
5.170e+2, -7.179e-3
5.180e+2, -7.156e-3
5.190e+2, -7.124e-3
5.200e+2, -7.094e-3
5.210e+2, -7.073e-3
5.220e+2, -7.052e-3
5.230e+2, -7.026e-3
5.240e+2, -6.989e-3
5.250e+2, -6.969e-3
5.260e+2, -6.948e-3
5.270e+2, -6.926e-3
5.280e+2, -6.893e-3
5.290e+2, -6.868e-3
5.300e+2, -6.848e-3
5.310e+2, -6.826e-3
5.320e+2, -6.801e-3
5.330e+2, -6.770e-3
5.340e+2, -6.751e-3
5.350e+2, -6.731e-3
5.360e+2, -6.710e-3
5.370e+2, -6.678e-3
5.380e+2, -6.658e-3
5.390e+2, -6.639e-3
5.400e+2, -6.617e-3
5.410e+2, -6.590e-3
5.420e+2, -6.566e-3
5.430e+2, -6.546e-3
5.440e+2, -6.527e-3
5.450e+2, -6.505e-3
5.460e+2, -6.474e-3
5.470e+2, -6.456e-3
5.480e+2, -6.437e-3
5.490e+2, -6.417e-3
5.500e+2, -6.387e-3
5.510e+2, -6.368e-3
5.520e+2, -6.350e-3
5.530e+2, -6.332e-3
5.540e+2, -6.307e-3
5.550e+2, -6.285e-3
5.560e+2, -6.267e-3
5.570e+2, -6.250e-3
5.580e+2, -6.230e-3
5.590e+2, -6.203e-3
5.600e+2, -6.186e-3
5.610e+2, -6.167e-3
5.620e+2, -6.150e-3
5.630e+2, -6.124e-3
5.640e+2, -6.106e-3
5.650e+2, -6.089e-3
5.660e+2, -6.072e-3
5.670e+2, -6.051e-3
5.680e+2, -6.027e-3
5.690e+2, -6.012e-3
5.700e+2, -5.995e-3
5.710e+2, -5.979e-3
5.720e+2, -5.954e-3
5.730e+2, -5.938e-3
5.740e+2, -5.921e-3
5.750e+2, -5.904e-3
5.760e+2, -5.882e-3
5.770e+2, -5.864e-3
5.780e+2, -5.848e-3
5.790e+2, -5.833e-3
5.800e+2, -5.815e-3
5.810e+2, -5.792e-3
5.820e+2, -5.779e-3
5.830e+2, -5.762e-3
